city,name,type,phone,email,address,latitude,longitude,google_maps,instagram,facebook,website,note,status,next_step
Erbil,Mini Me (شۆپی مینی می),Baby goods,0770 446 1117 / 0750 989 8008,Minime4baby@gmail.com,"Airport Road, ""Park View"", opposite Dream City, shop F17, Erbil",,,,https://instagram.com/mini_me_erbil,https://facebook.com/MiniMeErbil,,Premium branded baby & toddler gear. ~100K on Instagram.,,
Erbil,Baby Milk Center (سەنتەری شیری منداڵان),Formula & diapers,0750 144 1042,,Erbil (branch address to confirm on call),,,,https://instagram.com/baby_milk_center,https://facebook.com/BabyMilkCenter,,Formula and diaper specialist — the highest-reorder lines.,,
Erbil,Friend Baby Erbil,Toys,0750 792 3031,friendbabyerbil@gmail.com,"60 Metre Street, near the hospital, Erbil",,,,https://instagram.com/friendbabyerbil,https://facebook.com/FriendBabyErbil,,Premium toys and baby gear. ~36K on Instagram.,,
Erbil,Xnjila w Zhikala — Erbil branch (خنجیلە و ژیکەڵە),Baby & kids retail,0750 842 7000,,"Bakhtiari, 20 Metre Street, opposite Gulan Tower, Erbil",,,,https://instagram.com/xnjila_w_zhikala.erbil,https://facebook.com/XnjilaWZhikala,,Chain since 2005 — branches in Erbil and Slemani.,,
Erbil,Mini Baby (ميني بيبي) — Kanz Bilad Al-Thiqa,Chain / brand agent,+964 770 166 7600 / +964 771 970 8605 / +964 780 218 0218,info@minibaby-iq.com · kanz.info@gmail.com,"Ronaki Street branch, Erbil · Group offices: Tower of Justice, Erbil & Baghdad",,,,https://instagram.com/minibaby.iq,https://facebook.com/minibaby.iq,,"Also the exclusive Iraq agent for Chicco, Philips Avent and Caramell.",,
Erbil,New Baby,Baby goods,+964 751 233 4455,,Central Erbil,36.173860,44.020940,"https://www.google.com/maps/search/?api=1&query=36.173860,44.020940",,,,"Dedicated baby-goods shop, central Erbil.",,
Erbil,Mothercare — Family Mall Erbil,Mall store,+964 750 561 8484,info@familymallerbil.com,"Family Mall, 100 Metre Road, Erbil",,,,https://instagram.com/familymallerbil,https://facebook.com/family.mall.erbil,,Mall anchor. The number is Family Mall management — buying is central.,,
Erbil,lokan collection,Children's clothing,009647500040004,,"Sir John Major Street, بەختیاری ٢١٤, Erbil",36.207697,43.998239,"https://www.google.com/maps/search/?api=1&query=36.207697,43.998239",,,,,,
Erbil,Toys Kidzanya,Toys,+9647509879999,,"214-24, Bakhtyari 214, Erbil",36.203199,43.991744,"https://www.google.com/maps/search/?api=1&query=36.203199,43.991744",,,,,,
Erbil,جیهانی منداڵان,Baby & kids retail,07504950358,,"Zurgazraw street, ڕزگاری ٢ ٢٠٥, Erbil",36.170794,43.989463,"https://www.google.com/maps/search/?api=1&query=36.170794,43.989463",,,,,,
Erbil,دەرفەت,Toys,+964 750 306 5161,,"شەقامی کوران ٢, کوردستان ٢٠٧, Erbil",36.169634,43.985485,"https://www.google.com/maps/search/?api=1&query=36.169634,43.985485",,,,,,
Erbil,دەرفەت بۆ پێداویستی منداڵان,Toys,07503065161,,"Newroz Road, کوردستان ٢٠٧, Erbil",36.170192,43.985088,"https://www.google.com/maps/search/?api=1&query=36.170192,43.985088",,,,,,
Erbil,شوینی بیلال,Toys,07507886473,,"Shekh Allah Street, خانەقا ١٠٩, Erbil",36.188915,44.014607,"https://www.google.com/maps/search/?api=1&query=36.188915,44.014607",,,,,,
Erbil,هاي بيبي,Toys,009647505049005,,"Sir John Major Street, بەختیاری ٢١٤, Erbil",36.205509,43.999297,"https://www.google.com/maps/search/?api=1&query=36.205509,43.999297",,,,,,
Erbil,کۆمپانیەی سەردار,Toys,07504461154,,"Saidawa street, Saydawa 111, Erbil",36.184937,44.018698,"https://www.google.com/maps/search/?api=1&query=36.184937,44.018698",,,,,,
Erbil,Baby Land Co. (بیبی لاند),Baby goods,,,"Old Berhatke St (شەقامی کۆنی بەحرکە), Erbil",36.213710,44.010830,"https://www.google.com/maps/search/?api=1&query=36.213710,44.010830",https://instagram.com/babyland.erbil,https://facebook.com/BABYLAND.ERBIL,,"Largest baby store in Erbil — formula, diapers, clothes, prams, cribs.",,
Erbil,BeeBaby Erbil,Baby goods,,,Erbil (confirm on contact),,,,https://instagram.com/beebabyerbil,https://facebook.com/BeeBaby2017,,Trading since 2017. Contact by Instagram or Facebook.,,
Erbil,Baby love,Children's clothing,,,"شەقامی تاهیر تۆفیق, هەڤاڵان ٣٣٠, Erbil",36.189546,44.047355,"https://www.google.com/maps/search/?api=1&query=36.189546,44.047355",,,,,,
Erbil,bebegim,Baby goods,,,"Ronaki Street, موفتی ٢٢٩, Erbil",36.166675,44.027477,"https://www.google.com/maps/search/?api=1&query=36.166675,44.027477",,,,,,
Erbil,BIG FUN BABY,Children's clothing,,,"229-169, موفتی ٢٢٩, Erbil",36.163442,44.030245,"https://www.google.com/maps/search/?api=1&query=36.163442,44.030245",,,,,,
Erbil,CHYA KIDS SHOP,Baby & kids retail,,,"شەقامی نەمامگە, حەمرین ٣٣٩, Erbil",36.154578,44.039264,"https://www.google.com/maps/search/?api=1&query=36.154578,44.039264",,,,,,
Erbil,DandL Kids,Toys,,,"Koya road, shawane zhyan, کەسنەزان",36.209811,44.136535,"https://www.google.com/maps/search/?api=1&query=36.209811,44.136535",,,,,,
Erbil,DeFacto,Children's clothing,,,"Koya road, Floria city",36.201758,44.095664,"https://www.google.com/maps/search/?api=1&query=36.201758,44.095664",,,,,,
Erbil,DYA KIDS GAME SGOPS,Baby & kids retail,,,"شەقامی نەمامگە, حەمرین ٣٣٩, Erbil",36.154141,44.039621,"https://www.google.com/maps/search/?api=1&query=36.154141,44.039621",,,,,,
Erbil,Happy Lovely Baby,Baby goods,,,"Adil Salim Street, خانزاد ٢٢٢, Erbil",36.202607,44.034296,"https://www.google.com/maps/search/?api=1&query=36.202607,44.034296",,,,,,
Erbil,Hiwa Toys Store,Toys,,,"109-85, خانەقا ١٠٩, Erbil",36.189881,44.018161,"https://www.google.com/maps/search/?api=1&query=36.189881,44.018161",,,,,,
Erbil,LC Waikiki,Children's clothing,,,"Koya road, Floria city",36.201823,44.096112,"https://www.google.com/maps/search/?api=1&query=36.201823,44.096112",,,,,,
Erbil,Makok,Toys,,,"109-85, خانەقا ١٠٩, Erbil",36.190357,44.017715,"https://www.google.com/maps/search/?api=1&query=36.190357,44.017715",,,,,,
Erbil,MARIA KIDS GROUP,Baby & kids retail,,,"شەقامی نەمامگە, حەمرین ٣٣٩, Erbil",36.154800,44.039058,"https://www.google.com/maps/search/?api=1&query=36.154800,44.039058",,,,,,
Erbil,MOTTO kids,Children's clothing,,,"شەقامی ڕەمزی نافع, ناز ٢١٦, Erbil",36.209254,43.981253,"https://www.google.com/maps/search/?api=1&query=36.209254,43.981253",,,,,,
Erbil,NOES BABY,Baby & kids retail,,,"Peshawa Qazi Street, Chnar 335, Erbil",36.180753,44.039162,"https://www.google.com/maps/search/?api=1&query=36.180753,44.039162",,,,,,
Erbil,ROZA BABY,Children's clothing,,,"Ronaki Street, موفتی ٢٢٩, Erbil",36.164435,44.029355,"https://www.google.com/maps/search/?api=1&query=36.164435,44.029355",,,,,,
Erbil,Star Baby Rozh fashion,Children's clothing,,,"Ronaki Street, موفتی ٢٢٩, Erbil",36.164114,44.029633,"https://www.google.com/maps/search/?api=1&query=36.164114,44.029633",,,,,,
Erbil,ZARO BABY,Children's clothing,,,"229-169, موفتی ٢٢٩, Erbil",36.163486,44.030193,"https://www.google.com/maps/search/?api=1&query=36.163486,44.030193",,,,,,
Erbil,ئاسۆ سپۆرت,Toys,,,"Kurdistan Street, ئازادی ٢ ٢٠٢, Erbil",36.174293,44.005313,"https://www.google.com/maps/search/?api=1&query=36.174293,44.005313",,,,,,
Erbil,جلفرۆشی لۆنا,Children's clothing,,,"Karkuk Street, Zhyan",36.124509,44.022401,"https://www.google.com/maps/search/?api=1&query=36.124509,44.022401",,,,,,
Erbil,دوکانی سیدقطب,Toys,,,"Shekh Allah Street, خانەقا ١٠٩, Erbil",36.188060,44.013706,"https://www.google.com/maps/search/?api=1&query=36.188060,44.013706",,,,,,
Erbil,دی فاکتۆ,Children's clothing,,,"Peshawa Qazi Street, ڕاپەڕین ٢٢٣, Erbil",36.209894,44.044891,"https://www.google.com/maps/search/?api=1&query=36.209894,44.044891",,,,,,
Erbil,لاوی تۆی,Toys,,,"Newroz Road, نیشتیمان ٢٠٨, Erbil",36.178502,43.989201,"https://www.google.com/maps/search/?api=1&query=36.178502,43.989201",,,,,,
Erbil,ماکسی مۆڵ,Children's clothing,,,"Karkuk Street, گەڕەکی ڕاستی ٣٠١, Erbil",36.152254,44.017885,"https://www.google.com/maps/search/?api=1&query=36.152254,44.017885",,,,,,
Erbil,متجر سيارات صغيرة,Toys,,,"Peshawa Qazi Street, گەڕەکی ڕاستی ٣٠١, Erbil",36.156161,44.011825,"https://www.google.com/maps/search/?api=1&query=36.156161,44.011825",,,,,,
Erbil,موبایلی هه ناسه,Toys,,,"Daratu-Bnasrawe Road, Garaki Nshteman, دارەتوو",36.118105,44.069095,"https://www.google.com/maps/search/?api=1&query=36.118105,44.069095",,,,,,
Erbil,مينيونز بيبي كيدس,Children's clothing,,,"218-107, شۆڕش ٢١٨, Erbil",36.202038,44.019959,"https://www.google.com/maps/search/?api=1&query=36.202038,44.019959",,,,,,
Erbil,هیوا,Toys,,,"Binaslawa- Pungina-kasnazan Road, Bnaslawa",36.160759,44.122452,"https://www.google.com/maps/search/?api=1&query=36.160759,44.122452",,,,,,
Erbil,کۆشکی منداڵان,Toys,,,"Peshawa Qazi Street, ئەندازیاران ٢٣٢, Erbil",36.159429,44.027650,"https://www.google.com/maps/search/?api=1&query=36.159429,44.027650",,,,,,
